Area		지역(가장 가까운 지하철역)
PricePerM2012	2012년 평당 시세(천원)
SubWayDist	근접한 지하철역 까지 거리
MarketDIst	대형마트 까지 거리
NRoom		방수
Nbath		욕실수

Area,PricePerM2012,SubWayDist,MarketDIst,NRoom,Nbath
서현동,1875.19595709571,148,148,3,1
서현동,1921.97674418605,148,148,2,2
서현동,1755.14754908013,148,148,4,2
서현동,1555.59588975319,148,148,6,3
서현동,1435.75151253241,148,148,6,3
서현동,1500.36308623298,179,179,1,1
서현동,1535.75410544512,179,179,2,1
서현동,1602.44018151815,179,179,2,1
서현동,1521.00970629018,179,179,3,1
서현동,1681.83976533138,179,179,3,2
서현동,1784.85420168067,179,179,4,2
서현동,1552.85056746532,179,179,4,2
서현동,1529.3523222061,179,179,4,2
서현동,1536.43968978604,179,179,4,2
서현동,1458.39215488555,179,179,5,2
서현동,1329.15565766801,179,179,5,3
서현동,1617.89464317494,735,735,2,1
서현동,1659.26430143014,735,735,2,1
서현동,1490.0901500484,735,735,2,1
서현동,1672.55685374504,735,735,3,2
서현동,1796.97012667801,735,735,3,2
서현동,1670.24071571088,735,735,4,2
서현동,1603.84132420091,735,735,4,2
서현동,1476.22875252089,735,735,5,2
서현동,1349.3340792309,735,735,6,3
서현동,1639.01008403361,677,677,2,1
서현동,1761.95044655719,677,677,3,1
서현동,1681.83976533138,677,677,3,2
서현동,1641.10456096804,677,677,4,2
서현동,1723.43309519212,677,677,4,2
서현동,1720.35838802297,677,677,5,2
서현동,1604.53991331046,677,677,5,2
서현동,1470.68244505739,677,677,5,2
서현동,1464.32368193604,677,677,5,2
서현동,1555.59588975319,677,677,5,3
서현동,1704.72359735974,1340,1340,3,1
서현동,1661.44920464526,1340,1340,3,2
서현동,1621.68260976208,1340,1340,4,2
서현동,1521.30205316342,1340,1340,4,2
서현동,1598.25572601556,1340,1340,5,2
서현동,1546.62761484824,1340,1340,6,3
서현동,1500.02936073669,1340,1340,5,2
서현동,1500.15676567657,1320,1320,3,1
서현동,1593.83437322745,1320,1320,3,2
서현동,1565.79445948097,1320,1320,4,2
서현동,1502.63636363636,1320,1320,4,2
서현동,1430,1320,1320,5,3
서현동,1408.39013814662,1320,1320,5,2
서현동,1347.3218487395,1540,1540,2,1
서현동,1593.83437322745,1540,1540,3,2
서현동,1657.18582541054,1540,1540,3,2
서현동,1592.11033274956,1540,1540,4,2
서현동,1452.15195983781,1540,1540,4,2
서현동,1448.32420591457,1540,1540,5,2
서현동,1336.95769399386,1540,1540,7,3
서현동,1452.4186113512,1530,1530,2,1
서현동,1515.70523728493,1530,1530,3,2
서현동,1567.62652277001,1530,1530,4,2
서현동,1575.02382212811,1530,1530,4,2
서현동,1468.10967368218,1530,1530,4,2
서현동,1360.68137862633,1530,1530,5,2
서현동,1346.83727738473,1530,1530,5,3
서현동,1141.35538603183,1850,1850,2,1
서현동,1375.0356525497,1850,1850,3,1
서현동,1409.10899257494,1850,1850,3,2
서현동,1421.05715650374,1850,1850,4,2
서현동,1285.74762316335,1850,1850,4,2
수내동,1365.3973240256,365,365,2,1
수내동,1796.97012667801,365,365,3,2
수내동,1628.28343158548,365,365,4,2
수내동,1630,365,365,4,2
수내동,1383.96445548833,365,365,4,2
수내동,1442.65013637491,365,365,5,2
수내동,1507.2476983779,365,365,5,3
수내동,1493.10323095668,365,365,6,2
수내동,1333.48796167906,597,597,2,1
수내동,1428.6084701815,597,597,3,1
수내동,1703.21516354698,597,597,3,2
수내동,1620,597,597,4,2
수내동,1406.25797608357,597,597,5,2
수내동,1541.71589429016,597,597,5,2
수내동,1363.77887788779,446,446,1,1
수내동,1428.6084701815,446,446,2,1
수내동,1382.56451325859,446,446,2,1
수내동,1639.01008403361,446,446,2,1
수내동,1302.23433757721,446,446,2,1
수내동,1250.07562923524,446,446,3,1
수내동,1640.71185479297,446,446,3,2
수내동,1565.79445948097,446,446,4,2
수내동,1488.13382310573,446,446,3,2
수내동,1360,446,446,4,2
수내동,1360.68137862633,446,446,5,2
수내동,1308.2376098127,446,446,6,2
수내동,1445.71682230698,737,737,2,1
수내동,1812.59595386652,737,737,3,2
수내동,1515.170959758,737,737,3,2
수내동,1716.2807619982,737,737,4,2
수내동,1684.21588918962,737,737,3,2
수내동,1635.50324573013,737,737,4,2
수내동,1693.92147178664,737,737,4,2
수내동,1670,737,737,4,2
수내동,1460.8345690729,737,737,4,2
수내동,1575.77779814832,737,737,5,2
수내동,1441.90382254954,737,737,5,3
수내동,1726.65390432974,748,748,3,2
수내동,1696.00972937618,748,748,4,2
수내동,1671.05795255533,748,748,3,2
수내동,1604.25159135312,748,748,4,2
수내동,1607.18452895419,748,748,4,2
수내동,1490,748,748,4,2
수내동,1372.59623939735,748,748,4,3
수내동,1295.47117059309,748,748,5,2
수내동,1333.33450241122,748,748,5,3
수내동,1734.46681792399,990,990,3,2
수내동,1675.73869675415,990,990,4,2
수내동,1657.90001592103,990,990,3,2
수내동,1604.25159135312,990,990,4,2
수내동,1602.0823558464,990,990,4,2
수내동,1490,990,990,4,2
수내동,1441.22605136722,990,990,4,3
수내동,1393.95728297736,990,990,5,2
수내동,1365.72467039913,990,990,5,2
수내동,1398.55195089873,990,990,5,3
수내동,1338.54991775275,990,990,2,1
수내동,1625.08602760446,990,990,3,2
수내동,1500.01925016042,990,990,3,2
수내동,1716.2807619982,990,990,4,2
수내동,1684.21588918962,990,990,3,2
수내동,1541.74828259911,990,990,4,2
수내동,1693.92147178664,990,990,4,2
수내동,1490,990,990,4,2
수내동,1451.03031022006,990,990,4,3
수내동,1553.05023375195,990,990,5,2
수내동,1365.72467039913,990,990,5,2
수내동,1409.42152564665,990,990,5,3
수내동,1409.23817381738,1210,1210,3,1
수내동,1578.20854603895,1210,1210,3,2
수내동,1578.95239611527,1210,1210,4,2
수내동,1468.82775571942,1210,1210,4,2
수내동,1490.39848749273,1210,1210,5,3
수내동,1441.72481597257,1210,1210,5,2
수내동,1429.69560901829,1210,1210,5,3
수내동,1431.96782178218,1210,1210,3,1
수내동,1622.25060872823,1210,1210,3,2
수내동,1651.32104760388,1210,1210,4,2
수내동,1372.98934896326,1210,1210,4,2
수내동,1442.32111692845,1210,1210,5,3
수내동,1416.72380760311,1210,1210,5,2
수내동,1324.22626081202,1210,1210,5,3
수내동,1409.23817381738,1480,1480,3,1
수내동,1640.82599737779,1480,1480,3,2
수내동,1631.58414265244,1480,1480,4,2
수내동,1552.16550072477,1480,1480,4,2
수내동,1557.70680628272,1480,1480,5,3
수내동,1476.57087488774,1480,1480,5,3
정자동,1615.39965095986,286,1200,2,1
정자동,1777.90924369748,286,1200,3,1
정자동,1714.3301642178,286,1200,3,1
정자동,1604.35270389512,357,1080,2,1
정자동,1673.092495637,357,1080,2,1
정자동,1814.94901960784,357,1080,3,1
정자동,1767.90298184961,357,1080,3,1
정자동,1608.7675917401,232,940,2,1
정자동,1942.32577079697,232,940,3,1
정자동,1968.85422575156,232,940,3,2
정자동,1828.95319216685,232,940,4,2
정자동,1776.62547467336,232,940,4,2
정자동,1637.98570907005,232,940,5,2
정자동,1612.64634699743,475,820,2,1
정자동,1625.04213483146,475,820,3,1
정자동,1818.2051517096,475,820,3,2
정자동,1763.16350899538,475,820,4,2
정자동,1659.60223981464,475,820,4,2
정자동,1569.01788974078,475,820,5,2
정자동,1412.62819543186,856,1120,2,1
정자동,1596.16870273415,856,1120,3,1
정자동,1640.71185479297,856,1120,3,2
정자동,1333.52158128278,841,1050,2,1
정자동,1323.7319807795,841,1050,2,1
정자동,1184.21429708645,841,1050,2,1
정자동,1500.22957821676,742,670,2,1
정자동,1416.77142857143,742,670,2,1
정자동,1447.37302977233,742,670,2,1
정자동,1595.62128712871,742,670,2,1
정자동,1533.39517999395,742,670,3,1
정자동,1468.82775571942,584,750,2,1
정자동,1402.88151260504,584,750,2,1
정자동,1583.51695449389,584,750,3,1
정자동,1509.62943571844,584,750,2,1
정자동,1657.90001592103,980,670,4,2
정자동,1540.85627855291,980,670,4,2
정자동,1483.06757588187,980,670,5,2
정자동,1275.11571623052,1190,720,2,1
정자동,1500.01925016042,1190,720,3,2
정자동,1539.47858621239,1190,720,3,2
정자동,1380,1190,720,5,2
정자동,1608.7675917401,965,880,3,1
정자동,1560.62608855074,965,880,3,2
정자동,1684.21588918962,965,880,4,2
정자동,1572.99993697611,965,880,4,2
정자동,1500.03889369058,948,410,2,1
정자동,1555.67058823529,948,410,3,1
정자동,1703.21516354698,948,410,3,2
정자동,1671.05795255533,948,410,4,2
정자동,1628.01463345997,948,410,4,2
정자동,1510.24323990616,948,410,4,2
정자동,1330.52348236259,948,410,5,2
정자동,1635.1966315101,752,550,4,2
정자동,1654.80481129358,752,550,4,2
정자동,1520,752,550,4,2
정자동,1458.39215488555,752,550,5,2
정자동,1523.84903486027,946,370,2,1
정자동,1648.2700280112,946,370,3,1
정자동,1712.14318452654,946,370,3,2
정자동,1575.14294357888,998,220,2,1
정자동,1611.23025210084,998,220,3,1
정자동,1734.46681792399,998,220,3,2
정자동,1671.05795255533,998,220,4,2
정자동,1678.61495246327,998,220,4,2
정자동,1580,998,220,5,2
정자동,1483.06757588187,998,220,5,2
정자동,1262.61458175768,1130,410,2,1
정자동,1518.63081232493,1130,410,3,1
정자동,1593.83437322745,1130,410,3,2
정자동,1594.65456626605,1130,410,4,2
정자동,1463.61914665658,1130,410,4,2
정자동,1405.21931883378,1130,410,5,2
정자동,1250.11344728483,1180,170,2,1
정자동,1555.67058823529,1180,170,3,1
정자동,1515.70523728493,1180,170,3,2
정자동,1540.59847927398,1180,170,4,2
정자동,1455.5653401452,1180,170,4,2
정자동,1410.75086430423,1180,170,5,2
정자동,1398.32085726005,1180,170,5,2
